Physics,Chemistry,Math,CS,Statistics,English,Hindi,Regional,PE,Logical,Analytical,ProblemSolving,Numerical,Verbal,Interest_Area,Suggested_Course,Career Options
80,100,91,58,45,64,58,49,43,62,90,93,86,41,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
98,90,90,58,52,67,53,47,54,64,100,93,85,59,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
65,81,93,52,42,70,48,59,56,40,100,57,50,43,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
86,43,87,100,77,61,41,48,58,97,87,45,62,42,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
84,83,85,42,51,69,56,43,51,77,84,93,97,53,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
95,52,89,40,43,78,43,56,50,88,97,77,41,52,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
69,84,80,41,52,65,58,56,55,54,100,56,55,47,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
96,50,92,52,49,72,49,43,59,73,84,46,89,45,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
99,84,93,44,45,62,46,45,40,69,82,81,89,45,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
97,66,83,49,55,76,58,43,42,75,99,54,84,53,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
99,99,99,48,58,76,43,45,96,46,63,97,60,41,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
93,93,93,40,45,60,41,40,51,46,85,97,90,46,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
92,46,83,40,50,61,50,45,48,87,96,67,57,40,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
57,45,93,79,85,78,59,41,41,74,92,57,93,45,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
93,47,87,45,57,66,56,59,92,66,66,95,93,42,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
90,43,100,57,52,65,52,54,43,47,73,97,89,43,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
82,46,84,96,65,66,47,59,44,83,97,96,87,71,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
94,99,82,56,55,70,40,52,55,75,92,83,100,41,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
71,58,85,80,100,77,56,43,48,87,82,99,64,54,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
93,43,94,56,43,71,58,53,98,77,67,97,89,51,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
85,40,84,52,52,91,52,57,72,45,79,51,98,43,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
90,94,86,49,59,76,58,58,45,70,90,87,99,48,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
60,54,89,84,98,79,40,54,48,100,95,84,79,53,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
78,49,82,94,98,79,52,55,40,97,80,97,79,54,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
75,88,97,51,59,78,49,52,48,42,96,46,59,56,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
63,93,94,47,49,74,56,50,46,52,98,57,57,43,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
49,58,97,80,68,69,50,40,59,85,100,96,52,60,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
85,43,81,45,52,64,54,41,52,72,89,57,99,41,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
97,45,88,97,68,71,56,43,47,80,97,97,98,77,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
81,50,95,89,77,77,47,59,59,95,88,43,77,51,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
67,40,84,94,91,60,41,40,46,81,91,92,72,43,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
99,91,100,46,40,71,52,49,83,57,68,98,66,54,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
89,53,94,58,41,76,55,40,43,96,95,65,53,41,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
83,46,93,91,63,61,47,48,49,89,88,84,99,79,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
92,55,88,90,73,77,52,51,45,89,81,92,84,64,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
90,91,99,59,53,75,44,50,53,65,85,85,83,59,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
90,47,86,100,69,74,40,48,55,89,95,92,89,77,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
70,91,99,47,59,73,50,45,43,47,97,47,50,40,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
82,44,89,50,51,86,43,45,79,41,60,47,92,44,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
82,82,95,47,44,74,55,45,53,68,97,100,97,47,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
57,50,90,77,90,65,45,58,49,65,91,44,90,43,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
43,56,90,95,71,79,42,54,42,81,90,81,56,61,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
49,59,82,68,94,74,49,48,55,67,91,46,91,44,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
74,96,89,43,54,63,51,58,49,58,94,46,48,49,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
81,50,87,95,76,77,40,47,46,83,96,46,73,42,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
66,47,100,96,99,65,53,41,56,95,96,97,65,57,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
71,45,95,97,95,66,40,49,57,93,85,90,62,50,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
83,94,89,53,50,66,50,47,55,76,81,83,96,58,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
91,93,95,46,49,68,52,55,42,75,94,92,85,58,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
58,42,89,87,66,72,44,58,59,98,88,92,53,68,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
81,59,98,58,58,60,41,43,41,77,99,57,90,55,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
98,80,97,47,50,65,43,42,57,59,93,96,89,49,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
100,89,92,48,56,76,49,59,59,74,98,91,94,45,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
91,55,90,58,51,76,44,56,43,98,81,65,44,42,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
98,54,97,59,42,64,49,56,97,66,79,94,82,54,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
90,58,96,89,68,70,43,48,46,93,95,85,96,72,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
83,42,85,46,40,66,56,56,50,53,77,83,82,58,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
99,95,97,42,48,70,58,40,40,59,98,100,85,43,Engineering/CS/IT,Chemical,"Chemical Engineer, Process Engineer, Petroleum Engineer, Food & Chemical Quality Analyst, Pharmaceutical Engineer, Environmental Engineer, Energy Engineer"
94,58,81,51,50,64,57,53,93,78,66,87,91,42,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
96,57,80,54,40,70,46,44,52,60,83,43,98,47,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
82,80,87,57,44,78,55,49,84,50,71,83,67,53,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
98,41,96,90,77,63,56,43,41,89,90,81,84,69,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
94,46,92,82,70,76,55,46,52,92,84,54,62,46,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
56,59,92,78,87,66,51,47,59,61,80,50,97,50,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
62,51,100,89,94,67,42,50,52,92,87,98,75,58,Engineering/CS/IT,B.Sc IT,"IT Analyst, Software Developer, System Administrator, Database Administrator, Cybersecurity Analyst, Cloud Solutions Architect, Tech Support Specialist"
91,91,83,43,52,69,47,52,59,61,84,96,87,55,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
85,54,80,45,57,99,53,52,73,40,70,47,89,45,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
82,52,88,48,42,73,42,41,43,59,74,90,100,46,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
97,49,93,48,41,71,43,41,46,77,97,40,84,55,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
80,48,84,95,73,66,53,44,56,83,88,48,68,54,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
96,98,87,58,50,66,40,58,53,78,81,93,95,52,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
99,60,98,45,45,76,57,48,59,76,94,48,90,51,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
87,90,97,54,44,75,43,54,48,66,80,100,93,57,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
83,43,92,48,41,66,49,46,58,96,96,62,56,55,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
97,55,94,100,71,76,47,47,46,92,89,55,74,40,Engineering/CS/IT,ECE,"Electronics Engineer, Telecom Engineer, VLSI Design Engineer, Signal Processing Specialist, Embedded Systems Developer, Robotics Engineer, Network Engineer"
83,67,80,59,40,79,43,51,46,76,100,53,80,45,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
84,52,84,51,48,65,41,48,42,100,85,67,42,59,Architecture,B.Arch,"Architect, Urban Planner, Interior Designer, Landscape Architect, Restoration Architect, Construction Project Manager, Sustainable Design Consultant"
100,51,94,94,64,60,48,48,42,80,81,95,98,68,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
98,86,85,48,51,67,57,42,41,79,95,99,89,43,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
84,88,97,54,40,78,57,55,44,72,88,98,93,46,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
85,91,82,55,49,64,45,49,40,68,100,86,85,53,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
83,97,99,41,41,66,49,52,56,73,83,92,86,41,Engineering/CS/IT,Mechanical,"Mechanical Engineer, Automotive Engineer, Robotics Engineer, Production Engineer, Thermal Engineer, Design Engineer (CAD/CAE), Aerospace Engineer"
80,44,97,52,54,100,45,41,64,41,61,59,90,47,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
53,44,82,98,71,66,53,57,58,80,80,90,54,75,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
80,41,83,55,47,64,50,58,40,60,94,46,99,54,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
66,41,100,94,85,65,42,43,46,97,92,98,61,56,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
82,52,95,44,45,83,40,48,70,48,73,43,95,43,Aviation/Defence,Commercial Pilot Training,"Commercial Pilot, Flight Instructor, Airline Pilot, Charter Pilot, Cargo Pilot, Aviation Safety Officer, Flight Operations Manager"
85,97,82,55,40,74,48,49,87,53,61,84,67,49,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
64,85,91,44,42,72,40,44,50,45,86,58,48,42,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
80,98,88,49,54,75,45,52,59,60,86,85,93,51,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
83,47,84,55,53,62,54,59,49,77,80,44,88,51,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
58,57,91,63,92,61,44,43,43,78,83,50,97,58,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
65,53,97,92,89,79,57,53,48,95,97,93,76,53,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
86,94,92,41,40,76,56,48,49,74,88,80,96,47,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
97,42,98,43,58,61,55,49,99,78,64,82,93,49,Aviation/Defence,NDA,"Army Officer, Navy Officer, Air Force Officer, Defense Analyst, Military Trainer, Intelligence Officer, Aerospace & Defense Consultant"
81,52,98,96,66,72,59,44,46,90,87,88,97,68,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
93,48,94,41,56,65,43,47,58,56,73,90,88,53,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
84,80,85,42,45,66,55,44,40,71,90,80,86,46,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
81,40,80,97,76,72,47,49,52,94,87,98,83,79,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
80,56,96,98,78,62,43,48,43,92,80,80,98,62,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
58,44,87,84,75,66,54,58,57,98,94,99,41,72,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
97,50,89,97,62,77,53,55,48,92,87,81,81,60,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
96,88,87,47,53,63,43,47,94,42,63,96,62,50,Merchant Navy,Merchant Navy,"Deck Officer, Marine Engineer, Navigation Officer, Ship Captain (after experience), Port Manager, Marine Surveyor, Logistics & Operations Manager"
79,57,100,91,88,70,56,44,58,89,84,80,66,48,Engineering/CS/IT,CSE-DS,"Data Scientist, Machine Learning Engineer, Big Data Engineer, Data Analyst, AI Research Scientist, Business Intelligence Analyst, Data Engineer"
82,51,86,90,67,68,53,53,40,94,90,92,98,79,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
89,78,88,52,53,74,44,41,43,61,97,44,88,40,Science/Research,B.Sc Physics,"Physicist, Research Scientist, Data Analyst, Medical Physicist, Astrophysicist, Lab Technician, Academician (Professor)"
97,82,96,44,44,67,56,54,59,69,80,84,92,44,Engineering/CS/IT,Civil,"Civil Engineer, Structural Engineer, Construction Manager, Urban Planner, Environmental Engineer, Transportation Engineer, Site Supervisor"
96,51,96,82,75,68,50,44,54,87,91,100,86,73,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
65,87,91,54,40,60,49,42,45,59,83,57,44,57,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
83,57,83,53,42,65,50,51,58,60,89,52,83,41,Science/Research,B.Sc Mathematics,"Mathematician, Data Scientist, Cryptographer, Operations Research Analyst, Quantitative Analyst, Actuarial Scientist, Math Professor / Lecturer"
94,59,85,87,61,68,53,53,40,81,82,84,97,67,Engineering/CS/IT,CSE-AIML,"AI Engineer, Machine Learning Engineer, Data Scientist, Research Scientist (AI), Computer Vision Engineer, Natural Language Processing Engineer, AI Product Manager"
84,54,82,40,42,65,46,44,58,53,62,91,82,44,Aviation/Defence,B.Sc Aeronautics,"Aerospace Scientist, Aviation Safety Officer, Aircraft Maintenance Engineer, Aerodynamics Specialist, Avionics Engineer, Research Scientist (Aeronautics), Flight Testing Engineer"
100,48,97,91,60,75,53,53,50,87,88,89,92,61,Engineering/CS/IT,CSE,"Software Engineer, Full-Stack Developer, Cybersecurity Specialist, Database Administrator, System Analyst, Cloud Engineer, IT Consultant"
65,84,94,53,47,69,52,40,43,59,82,50,47,40,Science/Research,B.Sc Chemistry,"Chemist, Pharmaceutical Scientist, Toxicologist, Quality Control Analyst, Chemical Lab Technician, Research Scientist (Chemistry), Analytical Chemist"
55,46,89,75,84,68,47,51,57,73,82,55,93,57,Science/Research,B.Sc Statistics,"Statistician, Data Analyst, Risk Analyst, Market Researcher, Biostatistician, Actuary, Quantitative Analyst"
85,90,83,44,54,65,52,54,40,76,92,93,92,51,Engineering/CS/IT,EEE,"Electrical Engineer, Electronics Design Engineer, Power Systems Engineer, Control Systems Engineer, Embedded Systems Engineer, Energy Consultant, Telecommunication Engineer"
44,44,88,82,79,74,53,57,54,96,88,99,49,75,Engineering/CS/IT,BCA,"Software Developer, System Analyst, Web Developer, Database Administrator, IT Project Manager, Cybersecurity Analyst, Cloud Engineer"
