Course,Area of Interest,Fine Arts,Creativity,Communication,Empathy,English,Sociology,Memory,Computer Science,Mathematics,Statistics,Accountancy,Business Studies,Economics,Psychology,Hindi,Geography,Biology,Chemistry,Logical Reasoning,Critical Thinking,Numerical Aptitude
Diploma in Journalism & Mass Communication,Media & Communication,59,61,96,57,85.0,89,54,44,55,41,48,50,53,63,50,49,43,48,61,93,46
Diploma in Retail Management,Retail & Sales Operations,56,54,85,84,89.0,67,63,60,41,59,55,88,45,54,55,48,42,53,42,62,54
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,49,60,77,40,75.0,52,44,82,52,50,43,47,45,45,40,60,41,51,88,73,97
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",85,81,61,45,73.0,50,45,96,42,40,55,51,57,53,46,48,52,40,63,89,48
Diploma in Travel & Tourism Management,Tourism & Service Industry,43,60,100,85,99.0,81,43,44,60,44,55,69,54,52,59,63,46,45,49,72,49
Diploma in Travel & Tourism Management,Tourism & Service Industry,58,56,90,85,82.0,80,52,59,42,59,59,62,48,42,60,74,40,44,53,61,40
Diploma in Fashion Designing,"Fashion, Creativity & Design",87,81,97,63,61.0,63,60,56,56,43,45,44,48,56,46,47,57,47,44,92,54
Diploma in Graphic Designing,Design & Visual Communication,90,86,68,49,70.0,50,50,100,56,51,48,48,58,47,41,46,43,56,68,90,47
Diploma in Digital Marketing,Marketing & Online Branding,46,97,82,42,92.0,74,44,85,42,43,52,79,56,49,57,50,43,45,55,68,59
Diploma in Travel & Tourism Management,Tourism & Service Industry,48,48,80,86,95.0,84,53,53,57,53,43,67,57,57,42,75,44,49,46,70,41
Diploma in Photography,Photography & Visual Arts,98,99,86,54,67.0,60,42,76,41,46,43,58,42,57,56,49,51,46,51,81,48
Diploma in Digital Marketing,Marketing & Online Branding,58,85,86,52,90.0,72,57,81,45,54,40,62,59,51,40,46,56,55,53,71,60
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,55,98,82,93,78.0,68,93,44,56,47,58,76,44,51,56,55,58,52,60,60,51
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,56,71,98,,60,80,43,42,44,53,59,60,57,46,47,89,94,42,73,60
