Course,Area of Interest,History,Political Science,Sociology,Psychology,Economics,Philosophy,Geography,English,Hindi,Sanskrit,Fine Arts,PE,Logical Reasoning,Memory,Communication,Empathy,Creativity,Critical Thinking,Final Score,Career Options
BA History,Historical Research,83,81,79,49,58,40,44,72,43,55,55,41,56,99,71,57,42,80,65.11,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,90,64,51,42,40,40,67,49,50,51,52,51,93,61,58,57,82,67.91,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,87,89,61,58,48,46,43,80,57,52,50,43,60,83,69,44,48,82,68.09,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,82,95,63,57,56,46,44,71,56,52,42,48,56,96,79,55,52,98,70.22,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,83,91,68,58,51,48,46,73,59,58,54,55,60,84,62,51,59,100,68.16,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,100,95,66,52,60,49,46,73,44,42,50,50,57,94,71,48,49,91,69.73,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,85,86,73,52,47,49,48,77,41,44,44,45,58,87,75,52,40,99,68.18,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,86,92,63,43,45,58,51,66,49,58,46,42,52,92,77,59,47,88,66.71,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,80,82,72,56,40,45,60,65,51,52,52,54,60,95,80,50,44,83,66.22,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,99,77,54,48,56,53,74,40,60,42,55,50,91,69,55,47,85,69.44,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,100,87,63,47,57,44,48,63,56,48,40,60,59,92,75,52,53,82,67.04,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,97,98,64,54,41,49,57,72,44,40,40,57,54,96,70,60,56,92,66.71,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,81,88,62,40,60,55,45,76,44,44,45,42,60,84,80,44,49,89,67.96,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,96,100,73,48,53,40,58,72,52,43,40,56,47,81,67,46,41,82,68.07,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,91,80,71,44,56,55,54,74,44,60,53,41,50,98,66,45,41,85,68.64,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,81,97,74,58,41,59,45,60,54,49,58,56,44,83,69,56,49,96,69.98,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,84,81,65,60,41,52,50,70,55,50,58,54,55,90,75,47,43,87,66.24,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,82,82,77,58,58,60,44,77,49,60,45,40,44,88,71,53,41,96,68.6,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,92,88,74,54,50,55,56,63,40,47,56,42,59,94,74,53,53,81,68.67,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,93,98,66,42,54,53,50,74,52,57,45,42,58,94,64,49,46,96,67.56,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,91,96,72,59,43,49,42,68,52,57,54,43,54,81,74,47,47,96,68.2,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,89,68,44,45,59,41,72,45,44,40,60,60,85,65,55,43,90,66.62,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,82,98,67,44,43,45,41,79,50,43,54,45,56,85,78,41,54,90,66.07,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,98,92,71,44,45,43,58,79,40,59,56,51,54,80,73,45,44,90,66.47,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,92,90,62,40,45,57,49,64,49,51,41,52,47,81,79,40,44,88,66.8,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,88,90,74,45,42,56,44,71,57,53,60,50,48,81,71,42,42,80,66.02,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,87,90,68,44,53,42,60,64,44,58,53,43,52,89,77,47,47,86,66.47,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA History,Historical Research,93,98,65,40,54,40,56,60,54,41,53,60,47,87,78,46,58,85,66.56,"Historian, Archivist, Museum Curator, History Researcher / Academic, Archaeological Survey Officer"
BA Political Science,Governance & Policy,82,86,78,47,49,59,54,74,40,59,46,43,85,40,64,40,43,81,65.36,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,84,89,60,45,52,54,43,72,59,54,47,44,94,43,71,52,41,98,68.58,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,83,83,70,44,59,50,49,67,45,45,47,54,93,50,71,52,47,97,65.16,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,94,87,70,51,51,43,55,63,44,44,47,49,96,48,78,53,47,88,67.24,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,80,93,64,60,53,43,40,78,47,54,60,54,88,60,68,49,59,100,68.71,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,82,99,70,45,41,46,57,61,56,50,51,58,86,59,65,60,40,96,67.87,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,97,100,76,46,56,59,48,76,59,47,56,46,80,52,78,58,56,92,71.53,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,87,98,77,40,53,58,54,77,41,56,57,45,98,43,60,47,46,82,67.53,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,89,98,73,41,40,57,46,67,40,42,47,54,84,42,78,40,54,87,64.16,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,82,93,73,50,55,43,59,64,60,53,55,57,86,49,66,40,60,98,69.8,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,98,83,77,41,40,54,44,79,50,49,41,42,91,59,64,44,45,88,64.6,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,91,62,59,51,56,49,73,56,57,58,56,93,48,67,41,52,86,68.93,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,90,93,63,52,41,44,50,65,57,60,49,43,88,45,61,56,44,85,66.47,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,89,80,45,47,41,51,72,60,46,49,52,96,60,73,41,50,80,69.91,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,83,78,60,50,47,50,63,56,46,47,42,81,54,64,40,43,94,68.6,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,98,82,79,50,56,52,50,61,48,41,60,48,88,47,76,40,50,87,67.27,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,86,82,62,57,44,51,51,78,45,41,51,58,84,51,76,56,49,96,68.49,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,91,95,78,47,60,56,44,75,45,47,57,51,94,48,72,54,49,95,68.67,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,96,100,66,53,54,60,46,68,58,55,47,57,97,59,66,42,57,89,69.2,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,96,93,62,51,52,41,42,64,50,47,51,46,94,56,63,52,57,80,67.76,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,92,89,71,41,42,49,41,72,52,57,42,46,93,59,76,60,51,95,68.33,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,94,89,66,59,44,40,56,62,52,53,57,43,97,44,75,40,60,93,68.76,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,88,94,76,43,51,44,44,70,45,46,53,50,92,41,66,59,43,87,68.33,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,98,72,53,49,50,41,68,56,42,45,44,84,54,76,48,42,99,69.02,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,89,82,77,57,56,42,42,65,52,54,48,43,93,44,61,50,48,82,65.82,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,82,81,71,49,48,54,47,64,50,41,54,45,87,44,75,57,45,84,66.91,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,92,84,72,56,57,47,52,78,42,47,41,47,92,52,60,45,58,95,67.04,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,80,95,68,52,50,52,60,69,43,45,46,44,90,52,78,49,49,90,69.42,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,86,97,63,41,53,52,51,66,41,52,53,56,88,56,67,41,52,82,67.76,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,85,98,66,49,48,41,54,64,43,59,43,57,83,56,71,56,49,80,68.38,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,97,93,74,51,43,42,59,71,46,50,40,45,94,54,78,50,41,93,66.02,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,83,96,62,52,48,46,54,70,59,41,54,53,99,50,62,56,51,100,69.29,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,95,84,79,45,58,44,42,60,45,54,41,42,96,51,77,54,51,95,66.87,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,93,96,80,47,54,53,57,79,46,42,51,60,82,59,73,54,53,86,70.98,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,91,99,63,48,45,55,60,80,41,47,50,52,96,47,80,57,57,93,70.4,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,85,90,72,40,45,48,47,70,58,48,56,51,93,54,75,59,40,89,67.18,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,97,80,61,40,40,48,52,60,52,59,46,41,85,46,73,57,54,81,65.44,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,91,96,67,50,42,45,48,65,48,46,48,57,91,47,67,57,59,94,66.89,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,90,99,75,43,45,42,48,69,53,50,57,51,91,52,72,58,58,93,67.53,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,92,87,80,58,51,57,45,77,58,44,48,42,89,58,62,54,40,86,68.33,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,96,100,79,44,43,51,59,77,56,58,48,43,100,41,63,41,54,81,67.0,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,85,86,69,58,58,51,42,72,57,47,60,54,80,42,67,43,55,89,67.76,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,93,93,61,44,44,45,52,68,54,53,46,59,81,46,65,56,41,82,64.93,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,84,80,67,51,43,52,54,70,49,42,53,55,89,49,71,48,40,84,67.84,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,87,90,71,40,59,50,44,74,44,51,44,56,96,51,74,54,45,91,69.62,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,97,93,61,48,44,59,40,62,45,44,60,44,80,56,78,53,51,89,68.87,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,97,70,41,57,46,54,70,57,51,45,59,92,59,75,57,49,87,71.22,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,100,80,67,45,44,54,54,61,40,50,49,57,97,56,67,54,47,96,67.89,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,87,93,63,40,40,58,55,73,60,55,44,48,81,57,65,48,40,88,67.67,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Political Science,Governance & Policy,92,88,80,52,48,50,43,61,45,53,43,45,98,45,61,57,52,88,68.53,"Policy Analyst, Political Consultant, Civil Services Officer, International Relations Specialist, Legislative Assistant"
BA Sociology,Social Work & Research,52,70,80,86,60,54,40,71,46,54,60,58,40,56,96,82,51,65,67.82,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,42,67,93,93,49,41,53,68,42,60,47,55,41,45,100,91,44,61,67.53,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,44,74,91,83,54,50,55,65,53,57,51,50,52,60,90,95,54,80,70.27,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,43,70,98,94,43,60,52,78,41,53,43,55,60,59,93,94,42,67,69.89,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,49,63,97,81,56,52,43,70,46,51,49,46,52,46,96,89,49,63,68.6,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,43,66,80,91,52,49,54,72,60,48,48,54,49,49,87,95,56,64,66.24,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,57,78,83,86,49,57,58,63,49,40,57,44,54,56,82,91,41,60,69.11,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,56,75,84,94,42,46,50,69,48,53,52,41,42,46,100,97,42,69,66.36,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,48,76,90,86,53,58,43,65,49,46,52,53,43,47,84,80,43,62,65.51,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,60,85,88,46,43,52,76,41,44,51,60,47,45,87,97,42,71,64.49,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,45,61,91,81,45,56,42,61,59,47,51,43,44,52,94,95,49,75,66.69,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,56,75,91,87,59,42,55,72,58,47,44,59,47,51,80,100,59,65,70.38,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,66,80,100,55,51,45,79,41,53,43,40,57,52,81,88,60,61,66.44,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,40,70,82,99,43,57,45,62,50,54,44,59,49,51,94,96,49,65,68.69,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,52,62,89,93,45,42,55,66,59,53,48,54,60,42,81,81,42,77,67.53,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,59,77,89,81,40,43,53,60,53,55,53,59,42,42,88,85,52,80,65.58,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,80,81,83,54,43,52,71,52,53,59,57,45,50,81,98,58,64,69.73,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,41,69,81,90,57,54,48,78,48,42,60,48,53,58,86,95,55,60,66.51,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,43,66,87,96,44,46,59,79,43,45,46,57,44,59,82,86,53,66,65.73,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,44,61,100,85,54,60,49,66,44,40,52,60,57,52,100,100,57,64,69.29,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,43,76,82,96,50,60,59,80,43,41,59,55,57,47,82,88,59,65,68.56,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,60,69,92,96,48,56,48,68,40,41,55,40,49,57,87,100,50,61,67.04,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,76,94,96,52,58,44,71,40,44,47,52,47,50,80,92,58,62,68.53,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,44,79,100,87,53,43,50,79,54,58,46,58,58,50,84,84,47,69,67.8,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,54,75,96,87,47,48,41,74,57,42,56,43,43,53,88,88,57,69,69.69,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,43,71,87,81,52,60,55,61,50,49,54,56,47,57,88,87,53,77,69.93,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,59,80,91,98,53,56,60,62,46,56,51,48,54,57,100,92,60,67,71.49,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,73,86,91,50,50,52,77,41,60,54,59,57,54,98,91,52,70,68.44,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,40,62,98,86,51,54,44,74,47,49,55,47,40,51,84,82,40,63,64.82,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,42,69,81,90,49,60,53,66,41,48,55,52,48,59,83,89,51,76,68.02,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,53,61,100,99,50,55,58,65,58,44,43,54,43,59,89,82,44,65,69.87,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,47,66,100,89,45,53,43,72,59,56,46,43,53,42,84,95,59,63,65.76,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,57,78,98,96,53,58,52,71,45,60,43,58,55,52,83,96,40,77,71.89,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,56,74,90,92,40,56,45,63,59,55,54,54,45,54,93,90,46,68,69.4,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,44,79,89,97,42,52,50,76,52,45,56,52,58,60,98,89,42,73,70.89,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,44,64,99,96,60,49,44,63,45,43,46,46,57,42,80,83,45,68,66.33,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,51,79,83,100,51,49,46,62,53,49,55,55,49,52,85,91,48,72,66.82,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,50,79,97,90,60,43,57,60,46,45,54,57,50,59,94,95,46,80,69.44,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
BA Sociology,Social Work & Research,51,73,84,100,57,44,42,64,56,58,58,60,51,48,80,97,60,63,68.73,"Social Researcher, NGO Worker / Development Specialist, Community Service Manager, HR / Organizational Development Specialist, Social Policy Advisor"
