Course,Physics,Chemistry,Biology,Math,English,Hindi,Psychology,CS,Logical Reasoning,Analytical Thinking,Critical Thinking,Problem-Solving,Communication,Creativity,Research Skills,Numerical Aptitude,Empathy,Attention to Detail,Career Option
MBBS,79,92,82,54,77,48,41,43,52,42,90,100,65,44,75,47,93,53,Public Health Specialist
MBBS,76,99,95,48,61,60,53,50,55,52,87,87,62,56,68,49,91,48,Doctor (Physician)
MBBS,67,80,86,55,75,45,57,49,57,60,82,100,66,54,63,43,81,49,Hospital Administrator
MBBS,79,92,86,49,77,53,47,59,44,57,80,97,72,40,74,59,85,46,Medical Educator
MBBS,72,85,97,48,80,40,49,51,42,41,96,91,76,51,71,52,100,47,Medical Writer
MBBS,80,83,92,44,66,41,40,40,41,42,82,92,67,44,70,41,83,53,Surgeon
MBBS,70,96,85,55,69,42,44,58,53,54,92,85,63,42,69,60,80,57,Public Health Specialist
MBBS,62,93,93,57,75,53,54,53,45,56,84,86,62,50,69,41,90,60,Public Health Specialist
MBBS,62,85,81,54,68,40,45,47,48,51,100,91,60,42,69,49,84,45,Surgeon
MBBS,65,93,85,44,67,58,45,56,48,57,97,99,69,47,68,54,85,50,Doctor (Physician)
MBBS,72,94,98,49,70,42,40,46,54,43,87,97,78,53,60,60,95,54,Medical Researcher
MBBS,62,87,88,60,75,55,40,55,58,52,94,98,62,41,80,57,92,54,Hospital Administrator
MBBS,74,94,82,47,75,59,50,47,44,53,90,81,62,45,65,46,100,46,Medical Researcher
MBBS,61,80,90,52,65,59,50,60,57,41,92,83,73,55,79,42,99,48,Public Health Specialist
MBBS,77,86,100,53,78,51,47,59,54,55,92,81,70,43,64,53,99,44,Doctor (Physician)
MBBS,73,97,88,53,67,48,49,53,55,58,94,83,68,56,77,54,93,51,Medical Educator
MBBS,78,88,96,52,60,49,60,43,60,50,88,86,75,48,77,59,85,51,Hospital Administrator
MBBS,66,80,82,54,60,52,55,59,41,41,93,83,66,55,78,56,93,44,Medical Researcher
MBBS,76,86,88,45,62,53,55,43,51,48,88,80,76,45,79,46,83,54,Surgeon
MBBS,67,91,92,46,78,54,59,52,60,57,81,86,73,51,72,42,86,59,Public Health Specialist
MBBS,77,82,85,51,76,56,44,47,41,42,99,85,72,60,77,50,96,55,Surgeon
MBBS,72,97,98,40,78,44,60,59,56,46,100,99,78,48,61,51,94,44,Medical Educator
MBBS,63,99,86,42,63,51,40,48,50,41,99,81,64,42,67,45,81,58,Hospital Administrator
MBBS,80,91,84,47,67,47,59,55,51,53,85,80,61,58,70,48,90,57,Hospital Administrator
MBBS,70,82,93,45,60,42,43,51,60,51,85,91,70,56,76,50,92,60,Medical Educator
MBBS,60,99,84,42,80,52,42,41,52,45,96,91,73,54,70,51,100,46,Medical Educator
MBBS,63,82,95,51,73,49,56,50,49,47,92,84,60,41,67,43,85,44,Public Health Specialist
MBBS,62,95,91,50,71,49,55,57,45,57,99,94,68,46,74,53,99,59,Medical Researcher
MBBS,67,83,95,53,75,46,52,46,50,55,96,92,77,56,64,51,84,45,Public Health Specialist
MBBS,77,94,100,42,73,56,51,60,44,51,92,84,78,44,60,44,83,54,Medical Educator
MBBS,60,87,86,59,66,54,45,47,50,59,97,100,65,46,63,46,86,54,Public Health Specialist
MBBS,77,97,80,46,70,40,55,49,40,53,84,92,67,60,65,49,80,51,Doctor (Physician)
MBBS,60,92,89,44,71,43,54,55,44,59,85,100,65,40,78,51,98,57,Surgeon
MBBS,64,98,82,44,64,59,43,43,46,45,93,90,67,54,77,55,85,44,Public Health Specialist
MBBS,63,97,100,51,74,59,53,48,50,43,80,81,71,45,73,52,99,50,Surgeon
MBBS,80,97,87,43,62,48,45,53,56,49,92,89,66,59,68,44,80,56,Medical Writer
MBBS,71,95,84,58,80,49,43,53,40,41,91,86,64,40,74,59,91,46,Surgeon
MBBS,61,96,93,58,64,54,55,53,60,42,95,84,64,54,61,57,94,44,Medical Writer
MBBS,69,91,84,58,71,47,44,50,56,55,99,94,74,43,66,56,83,49,Medical Writer
MBBS,76,83,99,47,68,41,44,45,44,48,94,89,74,45,60,60,89,51,Public Health Specialist
MBBS,79,99,95,41,62,45,59,48,42,44,88,94,71,58,63,47,91,43,Surgeon
MBBS,75,83,99,44,68,49,55,51,53,46,95,100,63,58,68,49,89,48,Doctor (Physician)
MBBS,61,92,89,56,62,42,43,52,41,47,89,85,79,47,69,55,91,55,Doctor (Physician)
MBBS,71,92,86,51,74,59,49,48,53,46,95,81,65,57,70,48,95,49,Public Health Specialist
MBBS,67,83,92,52,80,41,52,48,49,53,96,82,68,58,72,41,92,57,Surgeon
MBBS,74,88,94,52,73,43,57,59,48,43,98,94,80,44,69,53,83,58,Medical Educator
MBBS,68,85,97,40,68,50,48,49,52,55,92,86,67,42,80,58,84,40,Medical Educator
MBBS,60,83,82,50,69,52,54,45,40,51,99,92,80,44,70,40,100,47,Public Health Specialist
MBBS,80,100,91,40,60,41,48,59,42,45,95,92,63,40,70,55,86,60,Public Health Specialist
MBBS,77,81,100,52,60,45,59,42,53,49,96,84,77,59,63,44,92,42,Medical Researcher
MBBS,68,97,83,50,75,43,42,57,43,60,96,84,79,58,68,53,88,52,Medical Writer
MBBS,79,100,81,44,72,46,46,57,51,52,89,99,60,53,75,51,96,42,Medical Researcher
MBBS,75,87,86,44,61,49,49,53,49,40,81,91,76,58,75,43,83,51,Medical Researcher
MBBS,61,91,94,48,76,46,41,50,52,58,89,84,80,43,66,58,97,42,Hospital Administrator
MBBS,80,100,87,54,69,60,44,45,50,49,81,86,72,55,80,44,92,43,Surgeon
MBBS,64,100,85,52,69,52,55,47,43,58,82,93,80,59,63,46,98,41,Medical Researcher
MBBS,66,100,83,44,70,51,43,45,43,60,100,95,75,53,72,46,82,40,Surgeon
BDS,77,89,81,41,64,46,40,58,56,46,42,91,69,43,61,48,96,86,Dental Researcher
BDS,74,81,81,49,66,54,46,50,51,55,50,96,64,49,68,58,88,97,Dentist
BDS,78,90,88,50,71,56,52,43,45,49,59,97,68,56,71,42,82,94,Orthodontist
BDS,62,84,96,57,71,42,49,49,46,40,57,96,64,48,64,53,95,80,Dental Researcher
BDS,62,86,93,54,77,52,56,55,60,45,40,93,63,53,71,55,90,85,Dentist
BDS,80,90,91,40,78,46,54,51,59,53,52,85,71,59,70,46,84,96,Dental Researcher
BDS,68,94,91,53,64,60,58,59,56,42,47,80,70,59,72,42,92,83,Prosthodontist
BDS,71,84,92,58,67,48,50,50,51,56,40,97,64,59,71,53,83,98,Dental Educator
BDS,64,81,88,58,67,40,47,55,59,46,58,90,70,45,76,45,87,91,Dental Educator
BDS,70,92,87,55,76,60,56,59,42,49,55,97,73,59,78,47,81,88,Oral Surgeon
BDS,77,95,88,50,65,41,49,46,43,46,50,85,71,45,68,56,97,83,Dentist
BDS,69,92,91,56,64,51,49,49,54,43,53,98,80,55,78,42,92,81,Dental Educator
BDS,68,85,100,57,63,40,51,45,42,55,42,87,70,41,66,48,100,93,Dental Researcher
BDS,78,96,99,49,61,58,50,41,53,50,56,90,76,56,78,46,87,95,Dental Researcher
BDS,65,88,92,41,76,54,44,42,56,52,42,80,61,59,66,43,82,84,Dental Researcher
BDS,80,99,90,41,74,45,53,50,55,54,47,81,74,50,78,58,88,88,Public Health Dentist
BDS,75,86,99,47,79,41,42,58,52,46,47,84,61,60,67,60,82,92,Dental Researcher
BDS,77,98,82,56,68,54,43,59,51,44,43,88,73,44,62,58,96,96,Dental Educator
BDS,76,94,100,42,60,49,55,53,51,44,56,94,80,51,67,45,80,81,Dental Researcher
BDS,60,89,94,52,66,53,40,41,40,46,44,87,71,50,69,54,85,95,Orthodontist
BDS,65,90,93,53,73,52,44,44,40,58,60,86,70,49,60,49,92,98,Dental Researcher
BDS,77,94,93,54,73,46,41,50,60,54,47,98,70,41,68,45,84,85,Orthodontist
BDS,72,93,99,59,79,44,52,43,52,40,45,95,79,50,69,43,97,95,Public Health Dentist
BDS,61,100,93,40,61,49,57,58,56,53,46,100,67,59,76,60,96,82,Dentist
BDS,61,91,82,47,75,51,53,49,51,40,47,96,71,59,61,41,82,83,Orthodontist
BDS,63,85,99,57,60,52,44,56,59,43,40,88,69,40,79,55,99,91,Dentist
BDS,77,82,91,54,74,41,44,43,59,48,46,86,66,43,62,57,95,91,Prosthodontist
BDS,67,96,80,47,75,52,58,60,41,56,44,100,72,44,77,42,94,93,Dental Researcher
BDS,69,80,81,46,77,46,44,51,60,42,40,93,77,50,65,55,94,85,Orthodontist
BDS,71,100,89,59,68,45,41,54,51,46,40,80,66,43,78,44,92,84,Dental Researcher
BDS,73,97,95,60,65,57,45,59,56,45,59,91,72,57,73,58,82,95,Dental Educator
BDS,66,97,91,50,80,50,52,49,59,49,43,91,80,47,77,48,89,82,Dental Educator
BDS,72,94,85,58,66,53,60,54,51,60,56,91,66,60,79,42,87,85,Dental Educator
BDS,75,86,92,51,64,53,56,44,58,46,56,95,78,53,63,54,90,87,Dental Researcher
BDS,66,97,100,41,74,53,50,48,46,55,59,83,61,60,79,58,96,90,Oral Surgeon
BDS,76,90,89,50,76,40,43,41,44,44,48,80,65,47,65,45,81,90,Prosthodontist
BDS,74,82,97,46,75,41,43,43,48,54,60,86,72,53,78,58,89,86,Public Health Dentist
BDS,63,97,95,40,78,44,53,57,41,41,40,83,78,49,66,45,86,80,Orthodontist
BDS,61,100,85,52,75,48,41,45,43,58,52,98,79,48,72,51,85,88,Prosthodontist
BDS,62,90,84,43,64,59,55,58,50,42,45,96,79,60,67,55,80,86,Dentist
BDS,66,95,91,46,76,60,55,49,47,58,41,93,78,45,63,50,81,100,Prosthodontist
BDS,74,85,91,40,67,42,47,59,45,42,60,100,61,49,79,41,93,85,Oral Surgeon
BDS,76,86,81,54,64,42,40,44,59,43,55,99,61,44,62,47,90,85,Oral Surgeon
BDS,67,83,89,52,68,44,52,60,44,52,40,100,70,51,60,46,100,82,Public Health Dentist
BDS,64,90,82,43,68,53,53,52,54,48,54,81,60,58,63,51,94,84,Dental Educator
BDS,73,93,92,59,69,44,57,42,53,43,56,88,68,47,62,52,92,84,Public Health Dentist
BDS,67,92,85,46,63,58,46,49,43,46,45,85,70,59,66,60,81,89,Prosthodontist
BDS,79,95,90,41,76,41,54,56,49,53,43,92,66,40,61,56,98,81,Dentist
BDS,77,97,95,50,72,59,45,59,46,54,49,89,62,53,66,51,96,85,Prosthodontist
BDS,62,87,87,56,61,59,48,55,60,50,49,98,75,47,60,55,99,89,Prosthodontist
BDS,78,94,96,55,79,46,52,56,52,48,48,82,73,57,60,47,89,99,Dentist
BDS,77,95,87,56,66,40,50,41,60,54,55,80,79,45,74,55,87,87,Dental Educator
BDS,74,90,88,47,65,56,55,47,45,40,53,87,75,45,62,51,91,86,Oral Surgeon
BDS,78,96,86,42,78,48,48,47,42,52,55,93,69,58,72,53,88,91,Dental Researcher
BDS,69,97,92,47,61,48,45,42,60,41,45,84,77,48,67,51,88,95,Dental Educator
BDS,65,88,84,46,69,48,43,57,40,41,54,85,67,42,72,46,100,94,Dental Researcher
BDS,66,99,99,48,63,42,43,52,48,47,57,89,61,59,79,50,90,99,Dentist
BDS,61,98,100,42,78,48,57,41,40,49,52,92,66,41,65,47,87,81,Prosthodontist
BDS,77,88,100,56,80,49,59,52,47,42,42,97,62,47,73,55,95,86,Dental Researcher
BDS,76,90,83,50,68,42,53,60,52,46,49,81,63,43,72,60,88,95,Dentist
BDS,69,86,89,59,68,51,45,58,51,43,56,85,71,52,63,45,95,88,Prosthodontist
BDS,68,99,82,45,69,55,59,57,53,60,49,81,66,41,79,40,86,92,Prosthodontist
BDS,60,89,100,40,67,50,52,53,59,40,49,90,68,51,61,56,94,89,Dental Researcher
BDS,60,93,93,54,75,51,44,49,43,55,42,98,69,55,71,55,94,92,Dental Researcher
BDS,68,95,94,49,76,56,49,55,48,54,53,90,77,55,78,56,87,91,Prosthodontist
BDS,79,95,99,46,64,46,46,44,49,42,40,96,62,41,78,58,82,100,Orthodontist
BDS,79,91,89,51,60,42,58,57,40,58,51,82,73,42,66,40,80,92,Dentist
BDS,79,92,88,58,69,40,52,43,43,54,44,95,78,48,75,40,95,95,Dental Educator
BDS,79,86,94,43,77,51,40,51,50,41,52,95,63,45,78,58,80,84,Public Health Dentist
BDS,61,80,88,52,61,60,59,50,44,43,60,83,71,46,71,45,93,83,Oral Surgeon
BDS,73,81,97,55,78,60,59,57,51,51,50,87,70,55,65,60,82,91,Public Health Dentist
BDS,68,85,83,44,68,54,58,51,57,43,53,95,64,45,61,52,95,88,Dental Researcher
BDS,80,89,84,57,78,49,47,52,50,56,44,95,76,43,63,53,84,87,Public Health Dentist
BDS,70,92,93,49,63,60,49,41,43,44,45,88,69,42,79,51,81,81,Dental Educator
BDS,62,88,100,60,79,58,49,41,49,42,41,100,69,51,68,59,83,83,Dental Educator
BDS,60,97,85,60,73,55,45,43,46,45,57,96,74,47,75,43,80,91,Dentist
BDS,69,98,80,49,66,43,60,42,44,54,54,88,65,42,79,51,93,92,Dental Educator
BDS,62,97,98,57,73,46,57,51,45,58,53,87,79,50,78,45,99,89,Prosthodontist
BDS,77,89,80,49,64,58,48,43,47,44,52,90,61,44,78,60,85,92,Orthodontist
BDS,62,90,93,43,60,57,53,46,41,49,47,94,67,46,73,56,99,86,Prosthodontist
BDS,78,86,94,58,74,55,46,45,40,52,43,89,74,44,72,59,99,84,Orthodontist
BDS,74,98,97,48,61,51,51,55,60,59,50,85,73,43,71,60,100,85,Public Health Dentist
BDS,71,89,96,40,69,46,41,58,44,45,51,80,78,44,65,46,86,81,Public Health Dentist
BDS,63,80,92,50,60,51,59,52,53,50,53,91,62,52,61,58,97,87,Oral Surgeon
BDS,68,84,98,55,77,56,42,41,46,55,55,92,75,40,63,59,83,86,Oral Surgeon
BDS,76,80,96,49,79,51,46,49,41,46,44,85,62,42,80,47,94,96,Public Health Dentist
BDS,67,83,87,57,68,41,52,54,41,51,54,89,75,55,64,46,92,98,Public Health Dentist
BDS,65,82,82,40,77,49,44,56,58,42,51,93,67,43,76,47,86,87,Dentist
BDS,65,85,88,50,68,41,50,46,51,50,44,84,76,44,66,51,97,83,Oral Surgeon
BDS,70,97,85,49,69,48,42,46,54,48,54,91,65,55,76,53,83,91,Public Health Dentist
BDS,74,89,93,56,79,54,50,50,50,43,58,80,71,43,78,59,80,90,Public Health Dentist
BDS,69,94,94,40,70,46,51,56,42,45,50,92,77,58,71,53,86,82,Public Health Dentist
BDS,60,88,87,52,73,57,54,54,44,54,46,100,72,40,63,47,91,99,Orthodontist
BDS,71,86,93,46,78,51,46,52,60,46,60,87,77,58,66,41,98,93,Prosthodontist
BDS,73,84,89,45,75,45,49,47,50,58,56,81,77,44,66,46,90,85,Dental Educator
BDS,79,82,93,44,76,51,50,53,53,45,48,82,69,52,62,42,93,100,Dentist
BDS,74,96,92,47,60,50,54,40,48,52,49,89,79,60,65,49,95,97,Oral Surgeon
BDS,78,86,92,54,65,44,44,59,52,49,44,90,70,42,67,49,90,93,Oral Surgeon
BDS,75,85,83,52,73,47,50,56,59,40,57,87,72,59,66,56,97,96,Dentist
BDS,61,89,81,45,65,45,58,44,52,40,51,92,63,47,79,55,94,83,Dental Researcher
BAMS,62,100,96,52,62,47,57,45,41,56,67,48,72,53,82,50,93,60,Ayurvedic Doctor
BAMS,68,85,100,56,72,50,58,47,48,58,61,59,76,45,80,60,88,43,Ayurvedic Doctor
BAMS,76,99,87,58,80,58,40,40,60,47,73,46,71,48,86,43,88,41,Panchakarma Specialist
BAMS,65,88,85,58,73,56,53,44,46,44,79,57,65,40,95,46,84,43,Wellness & Lifestyle Consultant
BAMS,79,99,92,46,69,50,55,60,40,58,76,43,75,51,80,56,91,54,Herbal Medicine Expert
BAMS,68,95,96,55,79,44,53,56,50,48,78,43,65,40,85,41,85,47,Wellness & Lifestyle Consultant
BAMS,68,80,92,48,61,48,54,52,52,41,75,57,66,52,92,60,85,50,Ayurveda Pharmacist
BAMS,73,90,88,46,60,42,51,56,45,59,70,44,74,40,89,43,82,50,Wellness & Lifestyle Consultant
BAMS,80,87,82,53,61,49,58,58,55,55,62,47,70,52,94,49,83,57,Ayurvedic Doctor
BAMS,70,84,80,54,76,45,48,57,53,54,68,57,80,51,94,51,88,55,Wellness & Lifestyle Consultant
BAMS,72,90,94,60,80,55,41,50,50,43,75,58,68,56,81,47,92,56,Herbal Medicine Expert
BAMS,71,99,96,59,73,49,44,48,48,57,80,48,76,46,91,45,95,44,Wellness & Lifestyle Consultant
BAMS,64,95,85,42,79,60,51,41,59,41,75,49,72,46,90,57,93,57,Wellness & Lifestyle Consultant
BAMS,67,96,90,58,74,53,59,54,55,58,72,60,76,48,80,44,80,53,Ayurvedic Doctor
BAMS,64,98,84,54,62,51,52,57,58,54,70,42,70,43,87,51,96,41,Panchakarma Specialist
BAMS,80,93,80,57,70,52,47,55,40,54,72,60,75,57,94,53,80,41,Ayurveda Pharmacist
BAMS,73,93,94,58,72,49,56,49,45,60,77,57,76,45,83,43,98,49,Panchakarma Specialist
BAMS,65,80,99,47,77,47,44,48,57,54,79,51,80,57,81,57,89,46,Ayurvedic Doctor
BAMS,67,88,96,45,80,40,59,56,47,49,80,45,66,49,86,40,82,48,Clinical Researcher (Ayurveda)
BAMS,65,96,92,57,75,45,48,58,48,46,77,60,61,53,83,60,90,58,Clinical Researcher (Ayurveda)
BAMS,67,97,87,49,79,60,43,59,40,59,68,57,69,41,97,45,96,55,Ayurveda Pharmacist
BAMS,71,80,86,40,78,55,60,56,41,48,70,43,74,51,99,57,100,59,Herbal Medicine Expert
BAMS,77,88,98,52,73,48,53,53,42,46,73,54,79,57,100,48,100,56,Teaching/Academia (Ayurveda)
BAMS,79,87,100,53,72,59,43,48,45,46,62,52,74,46,99,48,90,57,Ayurveda Pharmacist
BAMS,68,100,90,54,62,54,40,54,46,59,68,59,60,57,87,51,96,46,Teaching/Academia (Ayurveda)
BAMS,60,95,92,50,68,59,46,42,48,40,79,47,67,58,94,59,99,53,Clinical Researcher (Ayurveda)
BAMS,78,98,81,47,67,55,40,45,56,53,71,54,73,50,99,50,92,53,Wellness & Lifestyle Consultant
BAMS,77,87,91,46,66,52,60,55,50,55,72,47,63,60,82,52,88,46,Ayurveda Pharmacist
BAMS,64,82,99,53,66,51,42,41,46,50,69,57,60,48,92,46,85,44,Ayurvedic Doctor
BAMS,61,80,97,50,73,52,58,54,47,45,64,40,75,40,86,45,100,45,Teaching/Academia (Ayurveda)
BAMS,73,91,99,51,61,44,45,55,51,59,61,48,65,41,100,45,94,45,Teaching/Academia (Ayurveda)
BAMS,79,100,92,45,71,45,47,53,47,52,61,56,72,44,84,52,85,56,Panchakarma Specialist
BAMS,68,84,98,53,65,56,41,41,40,53,63,56,78,54,82,56,85,41,Ayurvedic Doctor
BAMS,79,89,99,55,63,43,46,41,51,45,65,52,77,47,88,52,95,49,Ayurvedic Doctor
BAMS,76,94,84,42,74,48,48,52,52,52,71,42,78,52,86,43,81,42,Clinical Researcher (Ayurveda)
BAMS,80,82,96,55,72,53,57,48,45,51,67,54,77,59,86,54,100,57,Ayurvedic Doctor
BAMS,67,98,97,56,64,46,43,40,43,60,60,50,73,51,82,60,82,48,Clinical Researcher (Ayurveda)
BAMS,79,88,91,48,76,53,58,45,52,46,66,57,71,58,81,42,99,53,Ayurvedic Doctor
BAMS,65,98,88,54,72,53,54,49,50,59,79,52,60,54,98,44,90,45,Panchakarma Specialist
BAMS,63,87,98,54,62,41,58,57,55,44,65,51,62,50,87,51,83,55,Wellness & Lifestyle Consultant
BAMS,78,100,89,50,60,44,46,60,43,56,64,49,76,53,99,57,93,50,Wellness & Lifestyle Consultant
BAMS,75,86,85,48,72,42,49,46,52,43,70,51,73,58,99,48,93,53,Ayurvedic Doctor
BAMS,65,81,89,51,69,43,47,52,57,60,78,40,70,55,95,54,87,45,Ayurvedic Doctor
BAMS,69,82,85,60,64,56,48,42,41,56,66,52,68,50,89,43,93,41,Ayurvedic Doctor
BAMS,78,92,100,51,71,47,51,57,49,52,73,44,72,41,98,40,98,52,Ayurvedic Doctor
BAMS,66,83,90,42,67,42,60,54,43,45,62,56,60,53,84,48,87,42,Wellness & Lifestyle Consultant
BAMS,78,84,87,46,69,49,49,54,57,57,62,45,70,54,81,60,90,54,Wellness & Lifestyle Consultant
BAMS,73,82,89,47,69,45,40,58,46,41,79,52,69,57,92,40,92,49,Clinical Researcher (Ayurveda)
BAMS,67,83,88,41,66,56,54,45,44,54,65,59,78,60,90,43,88,46,Ayurveda Pharmacist
BAMS,80,87,89,57,63,53,55,51,58,56,78,47,73,48,82,56,96,45,Ayurvedic Doctor
BAMS,75,89,96,43,65,49,41,44,48,56,78,58,65,45,91,43,85,43,Ayurvedic Doctor
BAMS,74,83,83,47,74,43,40,41,59,41,61,47,70,60,92,60,85,45,Teaching/Academia (Ayurveda)
BAMS,76,99,93,47,75,44,40,53,43,42,73,40,71,46,87,52,83,53,Wellness & Lifestyle Consultant
BAMS,66,98,92,49,79,56,53,55,41,60,67,42,80,50,98,47,92,56,Teaching/Academia (Ayurveda)
BAMS,71,88,99,56,60,53,51,40,55,46,72,58,66,47,83,57,94,44,Clinical Researcher (Ayurveda)
BAMS,74,96,100,45,67,55,48,48,43,49,77,49,66,50,85,57,86,52,Ayurvedic Doctor
BAMS,62,81,89,53,76,56,44,60,54,53,75,58,73,43,89,57,80,52,Clinical Researcher (Ayurveda)
BAMS,69,84,98,49,69,48,58,48,59,44,66,60,80,56,89,54,87,48,Clinical Researcher (Ayurveda)
BAMS,75,80,94,45,70,59,40,58,40,57,71,44,70,55,99,56,99,59,Clinical Researcher (Ayurveda)
BAMS,67,98,98,42,76,48,51,55,56,47,72,52,71,52,92,40,82,49,Panchakarma Specialist
BAMS,64,93,89,54,80,43,46,55,52,50,76,47,68,51,86,47,85,41,Wellness & Lifestyle Consultant
BAMS,65,95,97,41,64,59,57,52,49,58,76,59,78,58,83,41,80,60,Wellness & Lifestyle Consultant
BAMS,79,80,88,49,62,53,56,54,40,45,63,58,73,46,86,55,81,59,Teaching/Academia (Ayurveda)
BAMS,65,99,81,51,67,42,52,54,57,46,63,43,73,51,89,54,81,49,Herbal Medicine Expert
BAMS,72,88,94,50,78,47,50,49,42,55,73,58,76,56,93,53,93,55,Teaching/Academia (Ayurveda)
BAMS,62,97,87,53,61,49,43,57,47,48,71,47,69,51,84,42,91,58,Clinical Researcher (Ayurveda)
BAMS,65,91,85,43,66,49,60,45,40,57,73,51,62,46,80,52,93,49,Clinical Researcher (Ayurveda)
BAMS,68,80,91,60,70,54,53,54,52,50,63,54,80,52,96,51,84,40,Clinical Researcher (Ayurveda)
BAMS,75,82,83,54,79,52,46,49,48,57,74,44,61,46,99,46,88,50,Teaching/Academia (Ayurveda)
BAMS,78,100,90,55,66,50,43,47,54,40,71,57,65,50,90,50,95,44,Ayurveda Pharmacist
BAMS,72,89,93,60,70,54,54,45,41,57,76,46,77,46,82,60,82,51,Herbal Medicine Expert
BAMS,64,82,83,58,60,57,49,53,40,50,73,53,79,60,96,52,84,49,Clinical Researcher (Ayurveda)
BAMS,62,100,93,48,63,40,50,52,40,53,64,52,68,51,99,41,97,56,Wellness & Lifestyle Consultant
BAMS,67,94,97,43,73,55,51,55,47,55,76,56,75,45,88,51,86,51,Ayurvedic Doctor
