Student_ID,Recommended_Stream,Math,Science,Biology,English,SocialStudies,Language,LogicalReasoning,AnalyticalSkills,NumericalAbility,Creativity,CommunicationSkills,ArtisticSkills,PracticalSkills
114,PCM,90,99,41,66,57,44,100,92,99,57,76,57,73
115,PCM,98,90,54,65,45,54,97,88,93,53,61,42,62
116,PCM,85,81,59,63,42,56,99,83,92,56,66,46,64
117,PCM,81,86,54,75,40,46,91,88,85,57,73,43,70
118,PCM,82,83,50,64,49,47,93,88,85,48,66,58,75
119,PCM,96,90,44,72,42,60,88,87,94,54,76,60,61
120,PCM,93,98,53,80,59,53,88,98,84,47,74,52,61
121,PCM,80,88,52,68,52,50,81,93,87,47,64,49,80
122,PCM,80,85,45,69,55,50,84,90,95,57,77,49,80
123,PCM,92,84,41,73,58,60,81,97,84,54,79,47,69
124,PCM,95,100,51,76,47,59,94,82,90,44,64,42,64
125,PCM,87,91,42,69,40,55,94,93,96,50,78,60,75
126,PCM,98,96,49,70,59,46,92,83,99,47,79,41,79
127,PCM,96,91,43,78,42,52,80,91,90,41,69,58,64
128,PCM,82,91,55,79,50,60,96,93,82,43,62,51,75
129,PCM,84,82,42,63,60,41,95,88,84,56,71,45,66
130,PCM,85,98,45,60,45,55,84,95,99,52,71,51,75
131,PCM,100,94,57,76,45,40,88,99,97,43,75,43,61
132,PCM,96,92,43,65,51,56,84,91,94,59,60,46,60
133,PCM,97,86,55,64,40,42,90,83,99,49,70,48,76
134,PCM,82,91,56,63,57,40,81,98,100,51,64,53,75
135,PCM,88,93,42,63,47,60,80,82,100,49,63,45,79
136,PCM,96,81,52,72,42,50,97,84,98,56,73,50,69
137,PCM,85,87,42,68,54,48,83,93,94,40,66,50,78
138,PCM,82,92,47,75,48,41,94,84,82,55,79,55,60
139,PCM,84,94,41,61,55,60,91,85,94,59,61,52,74
140,PCM,86,91,59,74,60,45,85,93,91,45,66,59,76
141,PCM,86,95,49,67,43,48,97,90,84,44,80,42,76
142,PCM,86,88,49,64,40,57,80,93,84,44,78,56,68
143,PCM,100,90,47,70,56,59,97,93,99,42,61,56,74
144,PCM,95,92,42,60,59,47,82,82,88,57,76,50,63
145,PCM,80,92,57,71,48,51,94,91,91,48,67,59,71
146,PCM,81,87,44,67,53,51,98,97,99,53,67,47,61
147,PCM,80,81,47,76,59,51,88,93,93,47,80,45,77
148,PCM,97,93,44,71,44,41,82,92,92,50,64,45,77
149,PCM,88,83,56,62,49,51,81,86,100,41,76,44,65
150,PCM,88,93,51,65,51,60,100,83,90,59,66,51,75
151,PCM,80,85,60,71,44,41,96,94,87,59,66,42,73
152,PCM,85,85,42,74,47,41,81,99,91,43,63,47,67
153,PCM,83,91,43,73,53,47,92,85,85,54,61,43,77
154,PCM,83,91,58,60,42,40,87,82,93,47,63,59,62
155,PCM,83,81,51,79,60,50,93,81,94,43,73,60,70
156,PCM,98,96,52,77,46,44,91,84,98,54,79,44,72
157,PCM,93,99,60,67,51,52,82,94,99,50,68,58,71
158,PCM,94,95,46,61,51,51,93,85,99,49,62,53,73
159,PCM,88,82,55,74,53,45,81,85,92,48,66,51,65
160,PCM,83,94,51,61,52,44,86,98,90,40,61,43,64
161,PCM,98,84,48,78,57,45,80,83,90,58,73,58,70
162,PCM,99,86,50,65,54,54,94,93,90,60,65,40,74
163,PCM,91,83,59,73,58,50,92,86,90,60,62,55,72
164,PCM,81,89,48,66,44,45,86,82,87,40,76,42,61
165,PCM,98,99,42,65,45,60,99,82,98,57,61,57,60
166,PCM,85,89,45,73,51,46,93,96,86,58,79,46,80
167,PCM,82,100,46,74,57,43,93,83,99,52,78,45,73
168,PCM,89,89,58,74,44,49,98,89,98,41,60,40,75
169,PCM,87,93,53,74,57,46,83,88,93,44,74,45,75
170,PCM,80,92,42,71,56,57,84,84,97,51,76,45,78
171,PCM,92,100,52,76,53,40,98,97,87,41,60,50,67
172,PCM,81,80,42,76,47,42,88,90,92,46,73,45,66
173,PCM,95,96,59,75,47,40,84,89,99,59,76,52,70
174,PCM,80,83,52,62,52,56,86,88,87,50,62,52,61
175,PCM,97,85,46,77,53,57,87,93,96,48,69,58,64
176,PCM,95,86,46,70,49,46,85,93,88,52,66,52,78
177,PCM,94,84,48,73,53,56,86,97,84,51,70,52,76
178,PCM,93,96,60,80,45,40,82,98,96,46,60,56,77
179,PCM,82,84,57,61,49,45,93,85,82,50,68,57,73
180,PCM,94,91,56,74,48,57,85,81,94,42,70,49,67
181,PCM,94,94,40,70,47,49,87,100,92,45,66,47,71
182,PCM,81,94,49,72,45,51,81,89,81,53,69,45,78
183,PCM,90,83,53,80,42,47,100,100,82,51,78,49,77
184,PCM,81,82,57,69,44,46,86,100,96,58,73,58,79
185,PCM,80,81,46,66,50,58,82,80,93,54,61,48,68
186,PCM,83,92,46,79,57,57,99,84,91,48,71,44,69
187,PCM,82,83,41,64,40,49,86,87,83,53,71,41,63
188,PCM,94,100,43,68,59,55,99,89,90,56,67,50,65
189,PCM,97,94,52,66,54,54,80,86,88,57,62,57,66
190,PCM,84,89,47,78,54,46,89,83,82,42,64,59,65
191,PCM,94,82,42,77,44,41,100,93,94,49,66,56,60
192,PCM,84,82,47,68,56,44,85,86,82,46,70,57,66
193,PCM,83,95,52,66,59,53,90,91,86,51,68,44,66
194,PCM,90,83,48,62,56,40,100,92,93,41,64,43,65
195,PCM,88,80,45,64,54,53,99,85,90,40,66,58,70
196,PCM,88,80,40,63,58,53,96,99,97,42,72,54,74
197,PCM,94,84,58,64,40,52,88,99,86,56,77,54,69
198,PCM,91,94,43,68,50,56,97,99,81,43,73,50,61
199,PCM,100,93,55,78,51,45,81,84,85,49,66,40,64
200,PCM,99,91,54,69,40,41,93,88,86,40,77,51,70
201,PCM,97,96,41,72,55,56,85,100,88,45,62,50,63
202,PCM,81,96,57,62,45,58,94,87,86,41,60,45,80
203,PCM,86,82,60,66,47,60,84,80,86,45,64,43,68
204,PCM,90,95,40,67,41,54,93,92,91,51,79,59,70
205,PCM,86,89,51,69,56,40,83,92,88,57,61,44,72
206,PCM,100,91,59,78,42,50,99,82,98,49,79,44,60
207,PCM,96,100,57,72,56,55,92,92,91,48,67,48,67
208,PCM,83,98,54,66,41,43,91,92,95,43,71,40,61
209,PCM,82,86,54,67,53,42,80,81,84,40,71,59,80
210,PCM,86,87,48,71,41,59,99,93,93,59,72,56,75
211,PCM,87,100,45,60,43,44,97,99,80,45,72,59,70
212,PCM,91,80,40,64,42,41,93,85,81,60,60,49,80
213,PCM,96,100,56,68,44,45,100,87,98,47,70,41,74
214,PCM,80,81,53,76,41,57,83,83,98,57,68,43,78
215,PCM,82,94,59,68,46,50,87,98,81,51,62,60,61
216,PCM,91,83,48,66,46,51,100,93,83,47,69,50,79
217,PCM,90,100,45,74,43,49,100,87,80,50,69,56,64
218,PCM,90,97,41,79,47,51,93,81,91,41,70,42,67
219,PCM,96,81,42,64,45,46,95,82,91,49,64,42,79
220,PCM,92,100,44,74,40,57,89,91,84,55,69,50,65
221,PCM,94,86,51,70,43,42,99,80,92,50,73,53,61
222,PCM,87,97,47,77,42,55,99,94,91,48,66,52,71
223,PCM,96,99,48,63,44,53,93,84,91,56,78,56,74
224,PCM,85,95,55,70,42,44,85,90,86,57,78,50,63
225,PCM,97,97,54,73,40,49,98,91,80,41,63,53,60
226,PCM,93,94,58,75,50,58,100,83,88,49,62,49,79
227,PCM,91,94,42,62,47,50,86,90,80,51,60,60,66
228,PCM,82,80,60,80,46,52,96,100,100,50,77,57,70
229,PCM,90,99,56,65,50,48,89,86,83,55,69,55,79
230,PCM,96,96,55,80,40,60,94,88,95,55,76,57,73
231,PCM,89,92,49,70,49,57,84,80,84,56,63,46,66
232,PCM,81,85,43,60,52,52,95,86,85,44,69,59,72
233,PCM,88,97,49,74,40,59,87,84,92,58,61,41,68
234,PCM,86,83,53,65,57,42,86,94,84,42,67,47,63
235,PCM,99,85,49,76,51,41,100,94,97,56,71,52,75
236,PCM,97,92,46,75,44,42,80,98,82,55,80,47,80
237,PCM,95,93,45,60,57,42,91,89,95,55,70,55,75
238,PCM,91,86,51,63,60,40,80,95,84,57,74,40,71
239,PCM,98,92,59,64,40,57,86,88,98,60,74,41,75
240,PCM,92,82,44,74,46,50,90,100,84,49,66,43,70
241,PCM,86,86,45,72,53,54,84,97,98,41,60,56,68
242,PCM,99,100,45,70,40,46,91,99,87,55,71,48,67
243,PCM,91,82,56,69,47,60,93,94,87,58,74,49,79
244,PCM,84,80,54,68,41,55,84,93,93,49,61,57,68
245,PCM,83,85,46,67,47,53,84,80,100,46,79,44,61
246,PCM,82,98,56,67,59,41,93,100,85,58,62,56,68
247,PCM,96,100,48,75,43,55,100,98,95,55,74,48,60
248,PCM,80,94,57,60,49,41,87,95,97,42,78,46,79
249,PCM,90,92,45,68,45,53,81,86,88,48,75,42,63
250,PCM,83,96,47,70,58,60,85,84,92,52,75,55,67
251,PCM,99,91,54,70,49,58,95,96,96,47,71,48,76
252,PCM,87,91,51,72,58,48,92,97,85,46,77,45,67
253,PCM,91,95,46,76,52,47,92,98,86,47,78,60,72
254,PCM,100,91,48,69,53,53,87,87,81,41,67,52,64
255,PCM,82,94,48,77,43,56,98,87,88,42,74,47,63
256,PCM,81,99,59,68,42,60,85,95,96,55,64,43,78
257,PCM,93,81,57,76,59,45,98,87,91,54,67,51,72
258,PCM,84,96,48,79,58,52,98,95,93,48,79,49,62
259,PCM,84,86,45,60,47,42,94,86,93,53,80,59,67
260,PCM,87,80,46,66,56,53,97,85,100,54,78,41,61
261,PCM,80,89,56,60,55,57,98,85,88,52,64,55,70
262,PCM,86,96,59,71,55,56,91,91,94,46,61,51,65
263,PCM,95,91,45,75,43,52,96,85,100,47,79,56,65
264,PCM,81,99,43,72,42,51,97,80,82,56,67,48,79
265,PCM,89,84,60,70,46,41,98,91,90,51,63,46,64
266,PCM,87,84,57,79,46,57,97,98,88,53,68,56,79
267,PCM,80,97,54,75,57,47,85,80,84,42,70,43,77
268,PCM,81,95,60,72,57,48,89,96,94,57,61,45,61
269,PCM,80,80,49,64,42,52,86,85,88,50,77,48,69
270,PCM,91,81,49,73,50,42,85,83,90,45,74,40,63
271,PCM,90,90,60,64,56,44,95,92,85,50,70,52,61
272,PCM,96,96,45,73,49,48,94,92,83,48,80,50,78
273,PCM,93,90,59,60,42,58,92,89,88,49,68,41,76
274,PCM,83,97,55,69,41,51,94,94,80,45,60,49,77
275,PCM,82,96,54,71,58,54,85,87,89,47,73,42,66
276,PCM,81,85,48,78,47,43,97,100,81,50,79,59,69
277,PCM,92,85,60,60,60,47,100,82,95,59,71,44,74
278,PCM,80,95,56,80,52,57,99,87,98,49,74,55,78
279,PCM,86,81,48,75,45,49,83,93,94,40,75,43,80
280,PCM,98,86,46,74,56,52,97,80,95,40,70,57,71
281,PCM,96,97,43,61,40,52,95,86,81,43,80,51,76
282,PCM,97,81,44,76,51,60,98,84,87,46,65,57,79
283,PCM,84,91,53,69,47,46,100,100,99,55,60,60,66
284,PCM,83,89,40,68,46,46,100,91,86,58,64,41,78
285,PCM,100,81,57,79,53,43,91,81,88,58,65,59,61
286,PCM,96,85,43,63,53,52,94,99,100,53,72,53,67
287,PCM,80,95,52,73,60,50,84,92,97,60,75,40,76
288,PCM,93,86,53,68,41,48,95,89,95,52,64,47,61
289,PCM,92,98,53,64,50,57,81,89,86,46,64,44,78
290,PCM,91,94,45,60,51,47,84,97,92,52,77,49,70
291,PCM,88,89,48,66,48,49,100,90,83,52,75,44,77
292,PCM,81,95,46,64,54,58,81,93,99,53,68,59,76
293,PCM,96,96,50,62,49,45,98,86,84,44,68,40,60
294,PCM,95,88,52,78,55,44,87,84,99,44,72,49,71
295,PCM,90,88,44,63,50,40,81,93,84,58,66,43,61
296,PCM,84,93,59,64,47,55,100,93,87,43,80,45,73
297,PCM,84,88,52,62,40,48,100,86,92,56,78,58,80
298,PCM,81,86,58,79,46,41,85,99,95,46,73,42,75
299,PCM,88,99,60,67,59,40,91,86,95,52,63,50,70
300,PCM,93,82,52,72,60,59,86,93,84,51,66,54,63
301,PCM,89,82,43,78,54,47,93,95,91,56,63,55,76
302,PCM,93,95,49,68,58,44,82,82,96,41,69,45,61
303,PCM,81,82,53,74,54,56,83,97,87,57,73,53,66
304,PCM,90,85,42,80,46,53,90,80,83,48,65,42,60
305,PCM,100,88,59,71,51,57,98,83,80,44,64,40,80
306,PCM,92,86,45,67,51,51,93,90,89,42,67,41,70
307,PCM,81,98,53,63,46,51,88,100,84,41,76,50,61
308,PCM,95,98,44,64,50,49,95,85,95,58,71,44,79
309,PCM,87,86,46,80,51,41,89,96,84,45,68,59,67
310,PCM,91,96,58,62,45,52,98,100,96,55,60,49,78
311,PCM,89,83,52,66,45,50,91,85,96,53,66,40,80
312,PCM,80,97,44,78,56,52,80,98,92,51,65,60,76
313,PCM,84,86,58,68,44,43,92,90,88,42,62,49,77
314,PCM,91,100,59,76,40,55,89,92,96,43,73,51,67
315,PCM,88,81,44,67,42,53,89,95,92,60,67,44,65
316,PCM,95,92,44,67,42,45,88,96,84,46,70,56,71
317,PCM,83,98,50,69,53,47,82,84,99,59,75,48,60
318,PCM,97,93,54,69,56,55,99,93,99,48,78,45,74
319,PCM,88,86,58,62,44,50,98,89,82,60,64,51,70
320,PCM,99,98,50,74,49,43,99,87,81,46,68,43,79
321,PCM,93,92,52,66,51,45,87,93,94,60,71,45,79
322,PCM,80,81,53,72,58,42,89,96,98,60,66,57,69
323,PCM,87,87,42,79,57,60,93,93,100,55,61,55,75
324,PCM,82,98,42,73,54,42,86,83,95,51,64,53,63
325,PCM,87,83,54,69,54,59,92,97,92,48,66,58,78
326,PCM,100,89,44,71,43,45,98,100,96,43,72,46,72
327,PCM,91,84,52,80,54,57,97,100,95,43,76,43,62
328,PCM,82,85,47,60,47,40,93,89,95,53,64,56,63
329,PCM,89,86,50,68,42,54,92,82,84,49,62,55,73
330,PCM,97,91,46,74,48,59,100,99,84,41,64,55,74
331,PCM,86,97,60,75,54,47,84,99,86,54,69,53,77
332,PCM,98,94,58,75,52,59,81,96,82,51,63,45,68
333,PCM,98,81,48,60,60,56,97,98,98,52,60,42,70
334,PCM,84,100,56,62,54,53,82,98,87,48,67,42,68
335,PCM,86,88,58,79,53,43,94,93,97,52,69,59,77
336,PCM,83,89,44,75,46,59,93,99,86,44,77,54,79
337,PCM,81,84,40,76,42,56,80,85,89,42,65,46,67
338,PCM,99,89,55,65,52,40,84,83,88,48,66,42,71
339,PCM,80,95,42,70,57,42,92,94,94,43,61,54,74
340,PCM,93,85,59,71,50,49,91,92,85,50,73,40,78
341,PCM,89,83,54,67,57,59,99,89,82,56,77,51,76
342,PCM,82,99,59,74,51,59,100,85,88,40,70,56,72
343,PCM,92,92,50,61,45,52,91,100,100,57,65,54,74
344,PCM,82,90,56,67,51,42,98,91,93,51,67,40,68
345,PCM,92,95,59,67,51,56,91,86,98,44,80,60,62
346,PCM,80,92,55,60,45,52,99,82,100,58,73,59,71
347,PCM,100,90,52,62,52,57,87,90,99,55,78,40,62
348,PCM,99,84,55,74,54,50,100,88,86,52,77,59,71
349,PCM,80,99,49,63,46,43,81,87,100,42,76,43,65
350,PCM,88,80,52,66,56,44,84,88,95,57,80,59,65
351,PCM,87,91,48,75,51,58,93,93,86,43,67,48,67
352,PCM,93,85,56,64,56,47,94,89,80,47,80,51,65
353,PCM,90,98,60,78,55,51,81,100,89,45,80,56,76
354,PCM,90,91,54,70,52,46,94,94,85,57,77,43,67
355,PCM,98,95,55,70,59,42,92,86,80,45,70,44,80
356,PCM,91,93,53,80,45,50,91,87,100,44,70,45,66
357,PCM,93,83,51,73,46,55,94,84,97,46,62,44,65
358,PCM,93,100,52,76,42,48,100,84,88,41,72,60,74
359,PCM,83,80,40,70,49,52,86,89,93,56,65,51,65
360,PCM,86,95,59,71,41,59,88,83,93,50,69,46,79
361,PCM,95,97,45,66,55,51,98,80,98,48,68,43,78
362,PCM,81,91,52,66,59,45,97,87,83,53,65,40,78
363,PCM,80,91,44,67,56,54,94,89,83,49,69,54,72
364,PCM,81,91,43,73,46,59,96,91,98,59,62,51,77
365,PCM,84,83,41,61,58,52,97,89,97,60,77,50,73
366,PCM,92,100,41,67,46,43,80,98,98,56,63,42,80
367,PCM,84,88,56,72,59,51,94,82,82,52,76,58,72
368,PCM,85,96,57,60,51,47,94,94,92,48,71,51,77
369,PCM,89,88,42,70,44,48,96,93,84,58,63,60,64
370,PCM,91,85,50,62,53,40,94,83,100,44,80,53,67
371,PCM,87,98,51,69,53,49,89,98,89,46,62,57,69
372,PCM,86,92,49,62,59,57,86,85,93,40,72,59,69
373,PCM,85,86,54,78,43,49,80,86,81,60,77,52,66
374,PCM,100,87,58,67,43,44,95,81,96,43,63,49,71
375,PCM,99,87,56,60,50,40,83,84,99,52,72,51,76
376,PCM,92,96,43,70,53,45,90,85,99,44,71,59,63
377,PCM,92,89,50,71,45,59,93,85,80,41,74,51,61
378,PCM,82,97,51,71,50,43,92,81,98,46,79,47,71
379,PCM,92,83,59,72,53,44,89,80,96,52,71,55,74
380,PCM,97,87,49,71,48,46,94,99,99,58,77,42,73
381,PCM,89,85,60,68,46,54,83,80,93,54,63,56,72
382,PCM,91,99,48,72,54,47,89,95,92,41,70,42,69
383,PCM,83,93,51,68,48,41,90,91,94,48,71,55,71
384,PCM,84,94,57,67,56,46,94,93,89,42,80,57,61
385,PCM,94,82,47,70,60,54,85,80,88,59,60,51,78
386,PCM,85,87,60,72,55,54,93,98,80,52,69,46,72
387,PCM,90,87,46,64,50,47,99,82,88,41,60,47,76
388,PCM,85,96,57,68,56,45,95,92,82,46,80,58,61
389,PCM,99,92,42,60,49,43,81,82,88,47,77,50,75
390,PCM,93,93,60,77,44,51,83,96,100,55,62,52,68
391,PCM,97,88,40,69,47,60,96,95,100,43,62,59,66
392,PCM,80,93,56,69,59,55,83,93,99,59,77,46,65
393,PCM,92,90,45,77,40,41,90,80,93,55,77,56,68
394,PCM,95,91,43,71,56,45,86,87,93,59,73,56,76
395,PCM,85,90,56,60,41,46,88,87,97,58,74,50,80
396,PCM,87,88,55,70,45,52,86,97,82,56,71,43,63
397,PCM,81,83,45,61,55,40,97,84,96,57,61,49,79
398,PCM,95,99,60,62,60,41,97,93,95,45,62,51,64
399,PCM,95,93,45,70,47,58,88,81,81,51,76,50,70
400,PCM,99,84,44,77,48,54,81,82,100,42,63,46,61
401,PCB,45,95,95,63,62,53,71,86,51,60,93,53,62
402,PCB,42,93,80,69,77,59,71,90,53,55,91,52,69
403,PCB,48,83,80,70,77,48,73,91,51,55,93,44,65
404,PCB,58,93,92,61,77,40,72,92,50,53,87,51,73
405,PCB,53,83,94,65,68,57,76,98,47,41,87,53,79
406,PCB,52,80,83,79,69,50,78,96,56,53,83,57,66
407,PCB,52,93,87,77,61,50,68,100,49,60,89,45,74
408,PCB,42,97,87,60,64,46,72,87,58,57,87,58,77
409,PCB,43,84,83,66,72,59,71,97,54,40,80,40,72
410,PCB,57,94,94,73,78,40,78,95,49,46,80,56,62
411,PCB,58,98,82,60,69,44,79,85,51,56,90,44,70
412,PCB,50,88,90,66,60,40,68,97,48,54,89,47,68
413,PCB,46,96,84,80,72,50,79,98,44,60,92,40,69
414,PCB,40,99,83,79,71,47,72,85,46,56,83,41,60
415,PCB,48,87,86,62,63,49,76,99,56,49,100,49,65
416,PCB,45,81,96,73,68,54,79,82,46,58,86,50,62
417,PCB,48,80,96,72,64,58,64,89,52,44,80,55,64
418,PCB,51,90,96,67,68,44,70,100,58,45,82,56,79
419,PCB,53,88,98,76,70,45,77,80,54,56,84,56,72
420,PCB,42,96,97,60,74,45,70,100,59,58,87,45,67
421,PCB,48,94,99,71,70,47,76,96,60,48,87,56,75
422,PCB,44,98,93,75,80,45,78,81,41,42,88,58,66
423,PCB,55,88,81,78,78,57,74,91,52,44,97,59,60
424,PCB,59,100,88,68,72,52,80,85,52,45,89,57,71
425,PCB,58,89,82,73,78,51,80,87,50,48,90,52,68
426,PCB,47,96,95,68,78,52,71,85,59,58,84,52,79
427,PCB,53,99,91,75,64,56,65,93,54,53,81,50,74
428,PCB,45,88,94,71,67,51,65,98,60,60,94,42,75
429,PCB,59,91,86,80,79,45,71,95,56,44,92,45,62
430,PCB,56,82,81,67,79,53,75,81,42,56,92,47,73
431,PCB,59,86,82,65,60,40,71,96,51,54,93,51,71
